model_name,accuracy,precision,recall,f1,roc_auc,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_roc_auc_mean,selection_score,train_time_seconds,inference_time_seconds,true_negatives,false_positives,false_negatives,true_positives
LogisticRegression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8416388953473353,0.6282570726199064,0.023165361233898393,0.8013377926421403,0.8459527189246974,0.7323744538886464,0.0598,0.0102,747,288,81,293
GaussianNB,0.694819020581973,0.45894428152492667,0.8368983957219251,0.5928030303030303,0.8074297966881089,0.5974059607098476,0.009342925962355551,0.8481605351170568,0.821208078786202,0.7299304853676417,0.0709,0.0168,666,369,61,313
DecisionTree,0.7395315826827538,0.505982905982906,0.7914438502673797,0.6173096976016684,0.8335761709163243,0.6128597397865352,0.02085513382606832,0.7872909698996656,0.8252428050391059,0.7163872833766449,0.0553,0.0088,746,289,78,296
XGBoost,0.7565649396735273,0.5289719626168224,0.7566844919786097,0.6226622662266227,0.8352127412229714,0.627396290716832,0.01604675021561088,0.7518394648829432,0.839038975306899,0.7132799385929843,0.353,0.0181,783,252,91,283
RandomForest,0.7721788502484032,0.5524752475247525,0.7459893048128342,0.6348122866894198,0.8411725955204215,0.6320468134065822,0.01554760664493696,0.731772575250836,0.8456326996520558,0.7096680073011659,0.798,0.0787,809,226,95,279
KNeighbors,0.7778566359119943,0.5873925501432665,0.5481283422459893,0.5670816044260027,0.8078495957012581,0.5793859199010811,0.013902932367155717,0.5638795986622073,0.8142690272253021,0.6209353289323195,0.0394,0.0501,891,144,169,205
